"","unique_staying_id","subject_id","latitude","longitude","study_id","location_id","staying_time_start","staying_time_end","staying_day_of_week","staying_time_of_day","staying_count_surveyor","staying_conditions","staying_microclimate","staying_temperature","staying_row_total","staying_group_size","staying_race_ethnicity","staying_gender","staying_age","standing","leaning","sitting_formal_all","sitting_formal_public","sitting_formal_public_fixed_bench","sitting_formal_public_fixed_wall_with_seats","sitting_formal_public_movable_seat","sitting_formal_commercial","sitting_formal_private","sitting_informal","lying","staying_mobility_assist","commercial_all","commercial_selling","commercial_selling_informal","commercial_buying","commercial_observing","eating_drinking","talking_to_others","smoking","cultural","recreation_active","recreation_active_play","recreation_passive_reading_writing","recreation_passive","waiting_transportation","waiting_non_public_transportation","working_civic","disruptive","disruptive_aggressive","disruptive_intoxicated","living_public","using_electronics","soliciting","staying_covid_mask","staying_covid_social_distance","taking_care_child","feeding_child","chance_encounter","other","staying_notes","location_neighborhood","S_HOOD"
"9846",15759,"6926c2a0-f178-43f6-bbf8-8c0d09cf9f06",47.6004791859862,-122.33439331486,"2023_Seattle_Citywide","PIO3","11/02/2023 12:25:49 PM","11/02/2023 12:47:55 PM","Weekday","Midday","UD4H","","Light Clouds",59,1,"1","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2 females in front of South of Mill should be grouped.","Pioneer Square","Pioneer Square"
"9847",15760,"6abc0247-30f6-4419-976a-c580ed071c08",47.6006051486499,-122.334336492724,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"1","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
"9848",15761,"6b01eeed-2065-4fed-8f88-021768e2c8cc",47.600614353913,-122.334389237901,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"1","","Masculine presenting","25-64",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
"9849",15762,"6d1ba63e-85e3-465e-8cde-18a0cd9be670",47.6007310857824,-122.3343812574,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"1","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
"9850",15763,"6e9100df-9526-41c8-929c-402c685bac6a",47.6005255104981,-122.334392075075,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"1","","Masculine presenting","25-64",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
"9851",15764,"74d7d38e-c6ec-44c5-bf30-323874972c59",47.6006119264128,-122.334385254716,"2023_Seattle_Citywide","PIO3","10/29/2023 12:22:29 PM","10/29/2023 12:45:16 PM","Weekend","Midday","UD4H","Other:People walking to game.","Sun - Exposed",49,1,"3","","Masculine presenting","25-64",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Almost all groups in front  of saloon were standing in commercial seating area. Only one group of 4 were seated.","Pioneer Square","Pioneer Square"
"9852",15765,"76ae71a0-a0fd-42ff-97fe-5e10b2a820dd",47.6006752746768,-122.33439240912,"2023_Seattle_Citywide","PIO3","10/29/2023 12:22:29 PM","10/29/2023 12:45:16 PM","Weekend","Midday","UD4H","Other:People walking to game.","Sun - Exposed",49,1,"4","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Almost all groups in front  of saloon were standing in commercial seating area. Only one group of 4 were seated.","Pioneer Square","Pioneer Square"
"9853",15766,"78d5aac6-55e8-4594-b94c-a7a05e6ed98c",47.6007696678614,-122.334381833168,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"2","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
"9854",15767,"7c9408bd-eacd-4f2b-ae6c-17541813f245",47.6003723786902,-122.33440369034,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"6","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
"9855",15768,"7d977437-a0e8-4eae-86b1-651497f91d9e",47.6003698830908,-122.334401839823,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"6","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
