"","unique_staying_id","subject_id","latitude","longitude","study_id","location_id","staying_time_start","staying_time_end","staying_day_of_week","staying_time_of_day","staying_count_surveyor","staying_conditions","staying_microclimate","staying_temperature","staying_row_total","staying_group_size","staying_race_ethnicity","staying_gender","staying_age","standing","leaning","sitting_formal_all","sitting_formal_public","sitting_formal_public_fixed_bench","sitting_formal_public_fixed_wall_with_seats","sitting_formal_public_movable_seat","sitting_formal_commercial","sitting_formal_private","sitting_informal","lying","staying_mobility_assist","commercial_all","commercial_selling","commercial_selling_informal","commercial_buying","commercial_observing","eating_drinking","talking_to_others","smoking","cultural","recreation_active","recreation_active_play","recreation_passive_reading_writing","recreation_passive","waiting_transportation","waiting_non_public_transportation","working_civic","disruptive","disruptive_aggressive","disruptive_intoxicated","living_public","using_electronics","soliciting","staying_covid_mask","staying_covid_social_distance","taking_care_child","feeding_child","chance_encounter","other","staying_notes","location_neighborhood","S_HOOD"
"1",1,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"3","L","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"2",2,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"3","L","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"3",3,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"3","U","Other_Unsure","0-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"4",4,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"1","W","Male","25-44",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"5",5,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"2","W","Male","25-44",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"6",6,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"2","W","Other_Unsure","0-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"7",7,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"1","W","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"8",8,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"1","W","Female","65+",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"9",9,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","L","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"10",10,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","W","Male","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"11",11,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","W","Male","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"12",12,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","W","Female","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"13",13,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"1","W","Female","25-44",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"14",14,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","W","Male","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"15",15,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","W","Female","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"16",16,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"1","W","Female","25-44",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"17",17,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"1","W","Female","25-44",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"18",18,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","W","Female","65+",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"19",19,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","W","Male","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"20",20,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 04:22:00 PM","08/02/2018 04:42:00 PM","Weekday","Evening","UD4H","","Heavy Clouds",67,1,"2","W","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"21",21,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 04:22:00 PM","08/02/2018 04:42:00 PM","Weekday","Evening","UD4H","","Heavy Clouds",67,1,"2","W","Female","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"22",22,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 04:22:00 PM","08/02/2018 04:42:00 PM","Weekday","Evening","UD4H","","Heavy Clouds",67,1,"1","W","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"23",23,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 04:22:00 PM","08/02/2018 04:42:00 PM","Weekday","Evening","UD4H","","Heavy Clouds",67,1,"1","W","Male","45-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"24",24,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"4","W","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"25",25,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"4","W","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"26",26,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"4","W","Male","0-4",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"27",27,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"4","W","Other_Unsure","0-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"28",28,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"1","W","Female","45-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"29",29,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"1","W","Male","25-44",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"30",30,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"2","W","Male","15-24",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"31",31,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"2","W","Female","15-24",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"32",32,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"1","W","Male","25-44",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"33",33,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 08:22:00 AM","08/03/2018 08:42:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",59,1,"1","W","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"34",34,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"4","W","Male","65+",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"35",35,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"4","W","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"36",36,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"4","W","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"37",37,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"4","W","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"38",38,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"2","W","Female","65+",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"39",39,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"2","W","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"40",40,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"2","W","Female","65+",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"41",41,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"2","W","Female","65+",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"42",42,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"2","W","Male","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"43",43,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"2","W","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"44",44,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 12:22:00 PM","08/03/2018 12:42:00 PM","Weekday","Midday","UD4H","","Light Clouds",68,1,"1","W","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"45",45,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 04:37:00 PM","08/03/2018 04:57:00 PM","Weekday","Evening","UD4H","","Sun-Shaded",73,1,"6","A","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"46",46,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 04:37:00 PM","08/03/2018 04:57:00 PM","Weekday","Evening","UD4H","","Sun-Shaded",73,1,"6","A","Female","5-14",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"47",47,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 04:37:00 PM","08/03/2018 04:57:00 PM","Weekday","Evening","UD4H","","Sun-Shaded",73,1,"6","A","Female","5-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"48",48,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 04:37:00 PM","08/03/2018 04:57:00 PM","Weekday","Evening","UD4H","","Sun-Shaded",73,1,"6","A","Female","25-44",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"49",49,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 04:37:00 PM","08/03/2018 04:57:00 PM","Weekday","Evening","UD4H","","Sun-Shaded",73,1,"6","A","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"50",50,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 04:37:00 PM","08/03/2018 04:57:00 PM","Weekday","Evening","UD4H","","Sun-Shaded",73,1,"6","A","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"51",51,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 04:37:00 PM","08/03/2018 04:57:00 PM","Weekday","Evening","UD4H","","Sun-Shaded",73,1,"1","W","Female","65+",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"52",52,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/03/2018 04:37:00 PM","08/03/2018 04:57:00 PM","Weekday","Evening","UD4H","","Sun-Shaded",73,1,"1","W","Female","45-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"53",53,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/11/2018 12:41:00 PM","08/11/2018 01:01:00 PM","Weekend","Midday","UD4H","","Heavy Clouds",71,1,"2","M","Female","15-24",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"54",54,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/11/2018 12:41:00 PM","08/11/2018 01:01:00 PM","Weekend","Midday","UD4H","","Heavy Clouds",71,1,"2","W","Female","15-24",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"55",55,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/11/2018 12:41:00 PM","08/11/2018 01:01:00 PM","Weekend","Midday","UD4H","","Heavy Clouds",71,1,"1","W","Male","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"56",56,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/11/2018 12:41:00 PM","08/11/2018 01:01:00 PM","Weekend","Midday","UD4H","","Heavy Clouds",71,1,"2","W","Male","65+",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"57",57,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/11/2018 12:41:00 PM","08/11/2018 01:01:00 PM","Weekend","Midday","UD4H","","Heavy Clouds",71,1,"2","W","Female","65+",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"58",58,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/11/2018 12:41:00 PM","08/11/2018 01:01:00 PM","Weekend","Midday","UD4H","","Heavy Clouds",71,1,"4","W","Male","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
